"main_production_country","main_production_company","main_producer_name","editor_name","main_director_name","main_actor3_name","main_actor2_name","main_actor1_name","title","imdb_id","imdb_url","imdb_score","budget_in_millions","month_of_release","year_of_release","duration_in_hours","main_lang","total_number_languages","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_crime","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_filmnoir","genre_history","genre_horror","genre_music","genre_musical","genre_mystery","genre_realitytv","genre_romance","genre_scifi","genre_shortfilm","genre_sport","genre_thriller","genre_war","genre_western","main_actor1_is_female","main_actor2_is_female","main_actor3_is_female","total_number_of_actors","main_director_is_female","total_number_of_directors","total_number_of_producers","total_number_of_production_companies","total_number_of_production_countries","genre_count","actor1_avg_score","actor1_tier","actor2_avg_score","actor2_tier","actor3_avg_score","actor3_tier","director_avg_score","director_tier","editor_avg_score","editor_tier","producer_avg_score","producer_tier","production_company_avg_score","production_company_tier","main_lang_category","seasons","Continent"
"Algeria","Tessalit Productions","Jean Bréhat","Yannick Kergoat","Rachid Bouchareb","Roschdy Zem","Samy Naceri","Jamel Debbouze","Indigènes","tt0444182","http://www.imdb.com/title/tt0444182/",7.1,14.5,5,2006,2.133333333,"العربية",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,1,1,1,4,2,6.56666666666667,"Medium",7.1,"Medium",7.1,"Medium",7.1,"Medium",6.45,"Medium",7.1,"Medium",7.1,"Medium","Others","Spring","AF"
"Argentina","Lamb Bear Entertainment","none","none","Russell Mulcahy","Virginia Madsen","Sean Connery","Christopher Lambert","Highlander II: The Quickening","tt0102034","http://www.imdb.com/title/tt0102034/",3.9,30,1,1991,1.516666667,"English",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,1,0,1,3,3,5.2625,"Lower",6.805,"Medium",5.95,"Lower",5.88,"Lower",6.3874109263658,"Medium",6.42327868852459,"Medium",3.9,"Poor","English","Winter","SA"
"Aruba","Millennium Films","Boaz Davidson","Sunny Hodge","Tim Hunter","Michelle Rodriguez","Willem Dafoe","Ray Liotta","Control","tt0374584","http://www.imdb.com/title/tt0374584/",6.3,6.8,12,2004,1.633333333,"English",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,10,0,1,2,3,2,3,6.92222222222222,"Medium",7.05,"Medium",6.37142857142857,"Medium",6.7,"Medium",6.3,"Medium",6.3,"Medium",5.96666666666667,"Lower","English","Winter","NA"
"Australia","Impact Pictures","Paul W.S. Anderson","Niven Howie","Russell Mulcahy","Ali Larter","Oded Fehr","Milla Jovovich","Resident Evil: Extinction","tt0432021","http://www.imdb.com/title/tt0432021/",6.3,45,9,2007,1.566666667,"English",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,14,0,1,5,4,5,3,5.98181818181818,"Lower",6.2,"Medium",6.3,"Medium",5.88,"Lower",6.7,"Medium",6.03333333333333,"Medium",6,"Medium","English","Fall","OC"
"Australia","Bungalow Productions","Paul Hogan","Terry Blythe","Simon Wincer","Jere Burns","Linda Kozlowski","Paul Hogan","Crocodile Dundee in Los Angeles","tt0231402","http://www.imdb.com/title/tt0231402/",4.7,21.15,4,2001,1.533333333,"English",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,1,4,3,2,2,5.43333333333333,"Lower",5.6,"Lower",4.7,"Lower",5.1,"Lower",4.7,"Lower",4.7,"Lower",4.7,"Lower","English","Spring","OC"
"Australia","Beyond Films","Tristram Miall","Jill Bilcock","Baz Luhrmann","Bill Hunter","Tara Morice","Paul Mercurio","Strictly Ballroom","tt0105488","http://www.imdb.com/title/tt0105488/",7.3,3,8,1992,1.566666667,"Español",2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14,0,1,1,3,1,3,7.3,"Medium",7.3,"Medium",7.25,"Medium",7.16,"Medium",7.05,"Medium",7.3,"Medium",7.3,"Medium","Español","Summer","OC"
"Australia","Epsilon Motion Pictures","Sylvester Stallone","Steve Gilson","Renny Harlin","Til Schweiger","Robert Sean Leonard","Kip Pardue","Driven","tt0132245","http://www.imdb.com/title/tt0132245/",4.4,94,4,2001,1.933333333,"English",3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,1,2,4,3,3,4.4,"Lower",6.2,"Medium",4.4,"Lower",6.01111111111111,"Medium",4.4,"Lower",5.45,"Lower",6.06666666666667,"Medium","English","Spring","OC"
"Australia","Castle Rock Entertainment","Kerry Heysen","Pip Karmel","Scott Hicks","Hope Davis","Anton Yelchin","Anthony Hopkins","Hearts in Atlantis","tt0252501","http://www.imdb.com/title/tt0252501/",6.9,31,9,2001,1.683333333,"English",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14,0,1,1,1,2,2,6.98888888888889,"Medium",6.75,"Medium",7.05,"Medium",6.6,"Medium",6.6,"Medium",6.6,"Medium",7.28333333333333,"Medium","English","Fall","OC"
"Australia","Village Roadshow Pictures","Zareh Nalbandian","David Burrows","Zack Snyder","Essie Davis","Abbie Cornish","Emily Barclay","Legend of the Guardians: The Owls of GaHoole","tt1219342","http://www.imdb.com/title/tt1219342/",7,80,7,2010,1.616666667,"English",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,22,0,1,1,4,2,3,7,"Medium",6.8,"Medium",6.43333333333333,"Medium",7.14,"Medium",7,"Medium",7,"Medium",6.45625,"Medium","English","Summer","OC"
"Australia","Paramount Pictures","John Cornell","David Stiven","Peter Faiman","Mark Blum","Linda Kozlowski","Paul Hogan","Crocodile Dundee","tt0090555","http://www.imdb.com/title/tt0090555/",6.5,5,9,1986,1.616666667,"English",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,1,2,1,2,5.43333333333333,"Lower",5.6,"Lower",6.5,"Medium",6.4,"Medium",6.5,"Medium",6.5,"Medium",6.84390243902439,"Medium","English","Fall","OC"
