"name","avg_score","n","tier","role"
"50 Cent",5.46666666666667,3,"Lower","Actor"
"A.J. Cook",6.2,1,"Medium","Actor"
"Aaliyah",6,1,"Medium","Actor"
"Aamir Khan",8.06,5,"Top","Actor"
"Aaron Eckhart",6.28461538461538,13,"Medium","Actor"
"Aaron Paul",7.05,2,"Medium","Actor"
"Aaron Ruell",6.9,1,"Medium","Actor"
"Aaron Stanford",6.4,1,"Medium","Actor"
"Aaron Taylor-Johnson",6.6,1,"Medium","Actor"
"Aaron Yoo",6.7,1,"Medium","Actor"
"Aasif Mandvi",6.4,1,"Medium","Actor"
"Abbie Cornish",6.8,5,"Medium","Actor"
"Abhishek Bachchan",6.6,1,"Medium","Actor"
"Abigail Breslin",6.44,5,"Medium","Actor"
"Abigail Clayton",6.5,1,"Medium","Actor"
"Abigail Hargrove",7.1,1,"Medium","Actor"
"Adam Arkin",5.6,1,"Lower","Actor"
"Adam Baldwin",8.4,1,"Top","Actor"
"Adam Beach",6.55,2,"Medium","Actor"
"Adam Brody",6.6,1,"Medium","Actor"
"Adam Brooks",7.2,1,"Medium","Actor"
"Adam Campbell",2.7,1,"Poor","Actor"
"Adam Garcia",6,2,"Medium","Actor"
"Adam James",5.2,1,"Lower","Actor"
"Adam Kaufman",5.7,1,"Lower","Actor"
"Adam LaVorgna",5.3,1,"Lower","Actor"
"Adam Pascal",7.1,1,"Medium","Actor"
"Adam Sandler",6.055,20,"Medium","Actor"
"Adam Scott",5.6,1,"Lower","Actor"
"Addison Timlin",6.8,1,"Medium","Actor"
"Adel Bencherif",7.9,1,"Medium","Actor"
"Adele Mara",7.2,1,"Medium","Actor"
"Adewale Akinnuoye-Agbaje",5.05,2,"Lower","Actor"
"Adolfo Celi",7,1,"Medium","Actor"
"Adolphe Menjou",8.5,1,"Top","Actor"
"Adrián Alonso Barona",5.9,1,"Lower","Actor"
"Adrian Dunbar",5.6,1,"Lower","Actor"
"Adrian Pasdar",7.1,1,"Medium","Actor"
"Adrian Paul",4.5,1,"Lower","Actor"
"Adrian Zmed",6.2,1,"Medium","Actor"
"Adrianne Palicki",5.8,1,"Lower","Actor"
"Adrien Brody",7.08888888888889,9,"Medium","Actor"
"Adrienne Barbeau",6.1,3,"Medium","Actor"
"Adrienne Corri",8.4,1,"Top","Actor"
"Agata Buzek",6.2,1,"Medium","Actor"
"Aidan Devine",6.1,1,"Medium","Actor"
"Aidan Gillen",6.2,1,"Medium","Actor"
"Aidan Quinn",6.45,2,"Medium","Actor"
"Aimee Garcia",6.6,1,"Medium","Actor"
"Aishwarya Rai Bachchan",6.7,4,"Medium","Actor"
"Aitana Sánchez-Gijón",7.8,1,"Medium","Actor"
"AJ Bowen",6.1,1,"Medium","Actor"
"Akiko Wakabayashi",6.9,1,"Medium","Actor"
"Akim Tamiroff",7.4,2,"Medium","Actor"
"Akshay Kumar",3.8,1,"Poor","Actor"
"Akshaye Khanna",8.6,1,"Top","Actor"
"Al Gore",7.6,1,"Medium","Actor"
"Al Pacino",7.12352941176471,17,"Medium","Actor"
"Alain Chabat",5.5,1,"Lower","Actor"
"Alakina Mann",7.6,1,"Medium","Actor"
"Alan Arkin",7.05,2,"Medium","Actor"
"Alan Badel",6.7,1,"Medium","Actor"
"Alan Bates",7.26666666666667,3,"Medium","Actor"
"Alan Cox",6.8,1,"Medium","Actor"
"Alan Cumming",6.9,1,"Medium","Actor"
"Alan Curtis",7.6,1,"Medium","Actor"
"Alan Ladd",7.7,1,"Medium","Actor"
"Alan Rickman",7.7,3,"Medium","Actor"
"Alan Ruck",7.9,1,"Medium","Actor"
"Alan Tudyk",7.56666666666667,3,"Medium","Actor"
"Alan Vint",7.1,1,"Medium","Actor"
"Alan Young",7.6,1,"Medium","Actor"
"Albert Brooks",7.2,1,"Medium","Actor"
"Albert Dekker",7,1,"Medium","Actor"
"Albert Hall",7.7,1,"Medium","Actor"
"Alberto Ammann",7.7,1,"Medium","Actor"
