name,Continent
Afghanistan,AS
Albania,EU
Algeria,AF
American Samoa,OC
Andorra,EU
Angola,AF
Anguilla,NA
Antarctica,AN
Antigua & Barbuda,NA
Argentina,SA
Armenia,AS
Aruba,NA
Australia,OC
Austria,EU
Azerbaijan,AS
Bahamas,NA
Bahrain,AS
Bangladesh,AS
Barbados,NA
Belarus,EU
Belgium,EU
Belize,NA
Benin,AF
Bermuda,NA
Bhutan,AS
Bolivia,SA
Bosnia,EU
Botswana,AF
Bouvet Island,AN
Brazil,SA
British Indian Ocean Territory,AS
British Virgin Islands,NA
Brunei,AS
Bulgaria,EU
Burkina Faso,AF
Burundi,AF
Cambodia,AS
Cameroon,AF
Canada,NA
Cape Verde,AF
Caribbean Netherlands,NA
Cayman Islands,NA
Central African Republic,AF
Chad,AF
Chile,SA
China,AS
Christmas Island,AS
Cocos (Keeling) Islands,AS
Colombia,SA
Comoros,AF
Congo - Brazzaville,AF
Congo - Kinshasa,AF
Cook Islands,OC
Costa Rica,NA
Croatia,EU
Cuba,NA
Curaçao,NA
Cyprus,EU
Czech Republic,EU
Côte d’Ivoire,AF
Denmark,EU
Djibouti,AF
Dominica,NA
Dominican Republic,NA
Ecuador,SA
Egypt,AF
El Salvador,NA
Equatorial Guinea,AF
Eritrea,AF
Estonia,EU
Ethiopia,AF
Falkland Islands,SA
Faroe Islands,EU
Fiji,OC
Finland,EU
France,EU
French Guiana,SA
French Polynesia,OC
French Southern Territories,AN
Gabon,AF
Gambia,AF
Georgia,AS
Germany,EU
Ghana,AF
Gibraltar,EU
Greece,EU
Greenland,NA
Grenada,NA
Guadeloupe,NA
Guam,OC
Guatemala,NA
Guernsey,EU
Guinea,AF
Guinea-Bissau,AF
Guyana,SA
Haiti,NA
Heard & McDonald Islands,AN
Honduras,NA
Hong Kong,AS
Hungary,EU
Iceland,EU
India,AS
Indonesia,AS
Iran,AS
Iraq,AS
Ireland,EU
Isle of Man,EU
Israel,AS
Italy,EU
Jamaica,NA
Japan,AS
Jersey,EU
Jordan,AS
Kazakhstan,AS
Kenya,AF
Kiribati,OC
Kuwait,AS
Kyrgyzstan,AS
Laos,AS
Latvia,EU
Lebanon,AS
Lesotho,AF
Liberia,AF
Libya,AF
Liechtenstein,EU
Lithuania,EU
Luxembourg,EU
Macau,AS
Macedonia,EU
Madagascar,AF
Malawi,AF
Malaysia,AS
Maldives,AS
Mali,AF
Malta,EU
Marshall Islands,OC
Martinique,NA
Mauritania,AF
Mauritius,AF
Mayotte,AF
Mexico,NA
Micronesia,OC
Moldova,EU
Monaco,EU
Mongolia,AS
Montenegro,EU
Montserrat,NA
Morocco,AF
Mozambique,AF
Myanmar,AS
Namibia,AF
Nauru,OC
Nepal,AS
Netherlands,EU
New Caledonia,OC
New Zealand,OC
Nicaragua,NA
Niger,AF
Nigeria,AF
Niue,OC
Norfolk Island,OC
North Korea,AS
Northern Mariana Islands,OC
Norway,EU
Oman,AS
Pakistan,AS
Palau,OC
Palestine,AS
Panama,NA
Papua New Guinea,OC
Paraguay,SA
Peru,SA
Philippines,AS
Pitcairn Islands,OC
Poland,EU
Portugal,EU
Puerto Rico,NA
Qatar,AS
Romania,EU
Russia,EU
Rwanda,AF
Réunion,AF
Samoa,OC
San Marino,EU
Saudi Arabia,AS
Senegal,AF
Serbia,EU
Seychelles,AF
Sierra Leone,AF
Singapore,AS
Sint Maarten,NA
Slovakia,EU
Slovenia,EU
Solomon Islands,OC
Somalia,AF
South Africa,AF
South Georgia & South Sandwich Islands,AN
South Korea,AS
South Sudan,AF
Spain,EU
Sri Lanka,AS
St. Barthélemy,NA
St. Helena,AF
St. Kitts & Nevis,NA
St. Lucia,NA
St. Martin,NA
St. Pierre & Miquelon,NA
St. Vincent & Grenadines,NA
Sudan,AF
Suriname,SA
Svalbard & Jan Mayen,EU
Swaziland,AF
Sweden,EU
Switzerland,EU
Syria,AS
São Tomé & Príncipe,AF
Taiwan,AS
Tajikistan,AS
Tanzania,AF
Thailand,AS
Timor-Leste,OC
Togo,AF
Tokelau,OC
Tonga,OC
Trinidad & Tobago,NA
Tunisia,AF
Turkey,AS
Turkmenistan,AS
Turks & Caicos Islands,NA
Tuvalu,OC
U.S. Outlying Islands,OC
U.S. Virgin Islands,NA
UK,EU
US,NA
Uganda,AF
Ukraine,EU
United Arab Emirates,AS
Uruguay,SA
Uzbekistan,AS
Vanuatu,OC
Vatican City,EU
Venezuela,SA
Vietnam,AS
Wallis & Futuna,OC
Western Sahara,AF
Yemen,AS
Zambia,AF
Zimbabwe,AF
Åland Islands,EU
